FEATURE,GIVING_IQ__M002,GIVING_IQ__M001,SHRINERS_DAF__M001,SHRINERS_DAF__M004
T_RFM_PRODUCT_1_V2,0.04563314335362199,,0.0105540556833148,
T_PCT_MAIL_DONATIONS_12MON_SECTOR_6,0.04105153993673224,0.02690654806792736,,
T_PCT_MAIL_DONATIONS_24MON_DONATION_TYPE_G,0.03820675268362723,,,
T_RFM_PRODUCT_2_V2_SECTOR_6,0.03739118930074817,0.023120736703276634,,
L_VOTERS_AGE,0.03692303417970226,0.017411578446626663,0.01101561076939106,
T_PCT_MAIL_DONATIONS_DONATION_SOURCE_G,0.03404883775082041,,,
T_RFM_PRODUCT_10_V2_DONATION_CHANNEL_I,0.0334710560315643,,,
T_NUM_DONATIONS_24MON,0.028884703592292102,,,
T_PCT_AMOUNT_PAYMENT_METHOD_CH_SECTOR_18,0.028554454793154528,0.016783522441983223,,
T_PCT_HUND_DONATIONS_DONATION_CHANNEL_I,0.026917520509102334,,,
A_ANY_TYPE_OF_STOCK_INVESTMENT_ACQUIRED_IN_THE_LAST_12_MONTHS_FINANCIAL,0.026158046387143485,,,
T_PCT_AMOUNT_PAYMENT_METHOD_CH_SECTOR_1,0.025021722953241118,0.01804913952946663,,
A_HOME_MARKET_VALUE_ESTIMATED,0.020585742821679194,0.0434037484228611,,
A_HOME_ASSESSED_VALUE_RANGES_RP,0.01979174399010425,,,
T_PCT_NUM_PAYMENT_METHOD_CC_GIVING_LEVEL_L,0.018286679558950712,,,
T_PCT_NUM_PAYMENT_METHOD_CC_GIVING_LEVEL_M,0.0170534547411241,,,
A_PERSONICX_LIFESTAGE_CLUSTER_CODE_CLUSTER,0.015510589843602688,,,
T_RFM_PRODUCT_10_V2,0.013707942570083455,,,0.03803742236975663
T_PCT_HUND_DONATIONS_DONATION_CHANNEL_M,0.013342186203323858,,,
T_GIVES_IN_TENS_SECTOR_9,0.013153269429522616,,,
T_TOT_DIRECT_ONLINE_DONATION_AMOUNT_ORG_TYPE_C,,0.12817205488681793,,
T_MAX_DONATION_DONATION_TYPE_G,,0.05192840099334717,,
T_PCT_NUM_PAYMENT_METHOD_CC_ORG_TYPE_C,,0.03533301129937172,,
T_AVG_RFM_DECAY_3_V2_SECTOR_6,,0.027745679020881653,,
T_LATEST_DONATION_DATE_RANKING,,0.027147745713591576,,
T_MAX_DONATION_DONATION_SOURCE_D,,0.022465186193585396,,
T_TOT_ONLINE_DONATION_AMOUNT_ORG_TYPE_C,,0.02019447460770607,,
T_RFM_PRODUCT_4_V2,,0.019016331061720848,,
T_MIN_DONATION_SECTOR_3,,0.017851276323199272,,
A_PERSONICX_LIFESTAGE_GROUPS_CODE_CLUSTER,,0.017161354422569275,,
T_TOT_HIGH_LEVEL_DONATIONS_DONATION_SOURCE_G,,0.016725145280361176,,
T_TOT_LOW_LEVEL_DONATIONS_DONATION_SOURCE_G,,0.015366570092737675,,
T_MIN_DONATION_SECTOR_21,,0.014002003706991673,,
T_RFM_PRODUCT_4_V2_DONATION_CHANNEL_I,,0.013205385766923428,,
T_PCT_HUND_DONATIONS_ORG_TYPE_C,,,0.14821888506412506,
T_GIVES_IN_HUNDREDS_ORG_TYPE_C,,,0.11204338073730469,
T_TOT_DONATION_AMOUNT_CLIENT_5586,,,0.041069742292165756,
T_TOT_DONATION_AMOUNT_24MON,,,0.035963766276836395,
T_MAX_DONATION_DONATION_SOURCE_O,,,0.03522899001836777,
T_PCT_HOLIDAY_DONATIONS_DONATION_TYPE_D,,,0.03447576239705086,
T_AVG_DONATION,,,0.026410866528749466,
T_MAX_RFM_DECAY_7_V2_SECTOR_2,,,0.02631378173828125,
T_MAX_DONATION_AMOUNT_12MON,,,0.025493429973721504,
T_LATEST_DONATION_DATE_RANKING_DONATION_TYPE_S,,,0.023600270971655846,0.025003303517448793
T_AVG_DONATION_DONATION_CHANNEL_M,,,0.01922660507261753,
T_TOT_ONLINE_DONATION_AMOUNT_SECTOR_1,,,0.017230188474059105,
T_AVG_DONATION_DONATION_TYPE_G,,,0.016698485240340233,
T_MAX_DONATION_CLIENT_538,,,0.012953266501426697,
T_NUM_DONATIONS_24MON_CLIENT_5586,,,0.012662763707339764,
T_PCT_HUND_DONATIONS_DONATION_SOURCE_D,,,0.010479682125151157,
T_TOT_ONLINE_DONATION_AMOUNT,,,0.010329967364668846,
L_VOTERS_VOTINGPERFORMANCEMINORELECTION,,,0.009322049096226692,
T_EARLIEST_DONATION_DATE_RANKING_DONATION_TYPE_D,,,,0.04939629047714974
T_PCT_HUND_DONATIONS,,,,0.028924822299260602
T_AVG_RFM_DECAY_3_V2,,,,0.025291896722023102
T_MAX_RFM_DECAY_7_V2,,,,0.025195013148781475
A_HOME_MARKET_VALUE_DECILES_ESTIMATED_RP,,,,0.024706738647332162
T_MAX_RFM_DECAY_3_V2_DONATION_CHANNEL_M,,,,0.02335791021669472
T_RFM_PRODUCT_10_V2_GIVING_LEVEL_M,,,,0.02197921578022834
A_HOME_LOAN_TO_VALUE_ESTIMATED_RANGES_RP,,,,0.02081751003834327
T_PCT_NUM_PAYMENT_METHOD_EF,,,,0.02026192240190523
T_PCT_HOLIDAY_DONATIONS_SECTOR_2,,,,0.01956974460738591
T_PCT_HOLIDAY_DONATIONS_SECTOR_6,,,,0.01945975744308112
T_SUM_RFM_DECAY_3_V2,,,,0.016957925024987094
T_PCT_AMOUNT_PAYMENT_METHOD_CK,,,,0.016581405217278907
A_ANY_TYPE_OF_STOCK_INVESTMENT_ACQUIRED_IN_THE_LAST_TWELVE_MONTHS,,,,0.016501936783275384
A_HOME_SQUARE_FOOTAGE_RANGES_RP,,,,0.015898131841800604
T_PCT_MAIL_DONATIONS_CLIENT_89,,,,0.015669871823616833
T_RFM_PRODUCT_10_V2_SECTOR_28,,,,0.015163803543540853
L_PARTIES_DESCRIPTION__REPUBLICAN,,,,0.014120622262810158
