FEATURE,GIVING_IQ__M002,SHRINERS_DAF__M006,SHRINERS_DAF__M004,SHRINERS_DAF__M005
T_RFM_PRODUCT_1_V2,0.04563314335362199,,,
T_PCT_MAIL_DONATIONS_12MON_SECTOR_6,0.04105153993673224,,,
T_PCT_MAIL_DONATIONS_24MON_DONATION_TYPE_G,0.03820675268362723,,,
T_RFM_PRODUCT_2_V2_SECTOR_6,0.03739118930074817,,,
L_VOTERS_AGE,0.03692303417970226,,,
T_PCT_MAIL_DONATIONS_DONATION_SOURCE_G,0.03404883775082041,,,
T_RFM_PRODUCT_10_V2_DONATION_CHANNEL_I,0.0334710560315643,,,
T_NUM_DONATIONS_24MON,0.028884703592292102,,,
T_PCT_AMOUNT_PAYMENT_METHOD_CH_SECTOR_18,0.028554454793154528,,,
T_PCT_HUND_DONATIONS_DONATION_CHANNEL_I,0.026917520509102334,,,
A_ANY_TYPE_OF_STOCK_INVESTMENT_ACQUIRED_IN_THE_LAST_12_MONTHS_FINANCIAL,0.026158046387143485,,,
T_PCT_AMOUNT_PAYMENT_METHOD_CH_SECTOR_1,0.025021722953241118,,,
A_HOME_MARKET_VALUE_ESTIMATED,0.020585742821679194,,,
A_HOME_ASSESSED_VALUE_RANGES_RP,0.01979174399010425,,,
T_PCT_NUM_PAYMENT_METHOD_CC_GIVING_LEVEL_L,0.018286679558950712,,,
T_PCT_NUM_PAYMENT_METHOD_CC_GIVING_LEVEL_M,0.0170534547411241,,,
A_PERSONICX_LIFESTAGE_CLUSTER_CODE_CLUSTER,0.015510589843602688,,,
T_RFM_PRODUCT_10_V2,0.013707942570083455,0.030418955999764886,0.03803742236975663,
T_PCT_HUND_DONATIONS_DONATION_CHANNEL_M,0.013342186203323858,,,
T_GIVES_IN_TENS_SECTOR_9,0.013153269429522616,,,
T_RFM_PRODUCT_10_V2_ORG_TYPE_C,,0.03650381355936972,,
T_RFM_PRODUCT_4_V2,,0.03245530387478265,,
T_RFM_PRODUCT_10_V2_SECTOR_1,,0.03232318269613543,,0.032421089708805084
T_PCT_HUND_DONATIONS,,0.028017578557399152,0.028924822299260602,0.013050186447799206
A_HOME_SQUARE_FOOTAGE_RANGES_RP,,0.027670203934927525,0.015898131841800604,
T_MAX_RFM_DECAY_7_V2_SECTOR_4,,0.02438685830433534,,0.01264963485300541
T_PCT_NUM_PAYMENT_METHOD_CC,,0.02408562895096073,,
T_MAX_RFM_DECAY_7_V2,,0.02295629536180422,0.025195013148781475,
T_RFM_PRODUCT_10_V2_GIVING_LEVEL_M,,0.02120587511085138,0.02197921578022834,
T_PCT_HOLIDAY_DONATIONS_SECTOR_2,,0.02091562812036539,0.01956974460738591,
A_HEAVYTRANSACTORS,,0.020647402508104297,,0.04084748402237892
T_PCT_HOLIDAY_DONATIONS_DONATION_TYPE_S,,0.020068922898010426,,
L_VOTERS_GENDER__F,,0.019434294288719917,,0.014419447630643845
T_PCT_HUND_DONATIONS_CLIENT_52,,0.018170491171123102,,
T_MAX_RFM_DECAY_7_V2_SECTOR_3,,0.017461257121508065,,
A_IN_MARKET_FOR_A_USED_VEHICLE_FINANCIAL,,0.016896461959851002,,
T_MAX_RFM_DECAY_7_V2_SECTOR_28,,0.016700743293870442,,0.013665346428751945
T_LATEST_DONATION_DATE_RANKING,,0.016547005295324484,,
A_HOME_YEAR_BUILT_ACTUAL_RP,,0.016209099484240763,,
