FEATURE,GIVING_IQ__M002,SHRINERS_MIDLEVEL_MODEL2__M003,SHRINERS_MIDLEVEL_MODEL2__M004
T_RFM_PRODUCT_1_V2,0.04563314335362199,0.10221029574050257,
T_PCT_MAIL_DONATIONS_12MON_SECTOR_6,0.04105153993673224,,
T_PCT_MAIL_DONATIONS_24MON_DONATION_TYPE_G,0.03820675268362723,,
T_RFM_PRODUCT_2_V2_SECTOR_6,0.03739118930074817,,
L_VOTERS_AGE,0.03692303417970226,,
T_PCT_MAIL_DONATIONS_DONATION_SOURCE_G,0.03404883775082041,,
T_RFM_PRODUCT_10_V2_DONATION_CHANNEL_I,0.0334710560315643,,
T_NUM_DONATIONS_24MON,0.028884703592292102,,
T_PCT_AMOUNT_PAYMENT_METHOD_CH_SECTOR_18,0.028554454793154528,,
T_PCT_HUND_DONATIONS_DONATION_CHANNEL_I,0.026917520509102334,,
A_ANY_TYPE_OF_STOCK_INVESTMENT_ACQUIRED_IN_THE_LAST_12_MONTHS_FINANCIAL,0.026158046387143485,,
T_PCT_AMOUNT_PAYMENT_METHOD_CH_SECTOR_1,0.025021722953241118,,
A_HOME_MARKET_VALUE_ESTIMATED,0.020585742821679194,,
A_HOME_ASSESSED_VALUE_RANGES_RP,0.01979174399010425,,
T_PCT_NUM_PAYMENT_METHOD_CC_GIVING_LEVEL_L,0.018286679558950712,,
T_PCT_NUM_PAYMENT_METHOD_CC_GIVING_LEVEL_M,0.0170534547411241,,
A_PERSONICX_LIFESTAGE_CLUSTER_CODE_CLUSTER,0.015510589843602688,,
T_RFM_PRODUCT_10_V2,0.013707942570083455,,0.01531918491048902
T_PCT_HUND_DONATIONS_DONATION_CHANNEL_M,0.013342186203323858,,
T_GIVES_IN_TENS_SECTOR_9,0.013153269429522616,,
T_MAX_DONATION_AMOUNT_24MON_SECTOR_2,,0.057735749407980985,
T_MAX_RFM_DECAY_1_V2,,0.041347793827810266,
T_MAX_RFM_DECAY_3_V2_SECTOR_2,,0.030910575536872837,0.0241554619464927
T_TOT_OTHER_DONATION_AMOUNT_24MON,,0.030737761062886556,
T_TOT_MAIL_DONATIONS_24MON_CLIENT_262,,0.02856189224236752,
T_NUM_DONATIONS_24MON_CLIENT_262,,0.02856189224236752,
T_RFM_PRODUCT_2_V2_GIVING_LEVEL_L,,0.025133508086795507,
T_AVG_DONATION_SECTOR_2,,0.023964463649424058,
T_SUM_RFM_DECAY_7_V2,,0.0199484892760542,0.013953858791340219
T_MAX_DONATION_AMOUNT_3MON,,0.018629906888656823,
T_TOT_DONATION_AMOUNT_3MON,,0.017998796350351072,
T_GIVES_IN_HUNDREDS_CLIENT_5586,,0.017972691412941343,
T_PCT_HUND_DONATIONS_CLIENT_5586,,0.016041873602345665,
T_AVG_DONATION_AMOUNT_3MON_SECTOR_3,,0.01270338871897018,
T_TOT_DONATION_AMOUNT_6MON,,0.012144323998035316,
T_PCT_HUND_DONATIONS_DONATION_SOURCE_D,,0.01181779294740017,
T_TOT_MID_LEVEL_DONATIONS_3MON,,0.011569609251958986,
T_LATEST_DONATION_DATE_RANKING_CLIENT_262,,0.011350264081699714,
T_NUM_DONATIONS_3MON_ORG_TYPE_C,,0.010508973050459218,
T_RFM_PRODUCT_4_V2,,,0.07866688078412382
T_RFM_PRODUCT_2_V2,,,0.07817757691138626
T_RFM_PRODUCT_1_V2_SECTOR_2,,,0.06362525512443183
T_RFM_PRODUCT_1_V2_ORG_TYPE_C,,,0.05367046043529538
T_MAX_RFM_DECAY_7_V2,,,0.03859072105741555
T_MAX_RFM_DECAY_7_V2_ORG_TYPE_C,,,0.03769176691941326
T_NUM_DONATIONS_24MON_CLIENT_5586,,,0.0353792888763059
T_MAX_RFM_DECAY_7_V2_GIVING_LEVEL_M,,,0.03240821320305723
T_MAX_RFM_DECAY_1_V2_ORG_TYPE_C,,,0.028250315223823038
T_SUM_RFM_DECAY_1_V2,,,0.023725692261073378
T_MAX_RFM_DECAY_7_V2_DONATION_CHANNEL_M,,,0.02149236560830518
T_MAX_RFM_DECAY_1_V2_SECTOR_2,,,0.017537151807625828
T_RFM_PRODUCT_2_V2_GIVING_LEVEL_M,,,0.016574674062246244
T_MAX_RFM_DECAY_1_V2_DONATION_CHANNEL_M,,,0.01618621372157826
T_AVG_RFM_DECAY_1_V2_SECTOR_2,,,0.01585735260926232
T_PCT_MAIL_DONATIONS_24MON,,,0.014463477094724366
T_AVG_DONATION_DONATION_CHANNEL_M,,,0.01297650823402608
